"","Island","Species","Year","COUNT","CUM_FREQ","No_specimen_year"
"336","North","Acanthus mollis",1944,1,1,34
"665","North","Acanthus mollis",1953,1,2,129
"898","North","Acanthus mollis",1957,1,3,88
"1170","North","Acanthus mollis",1961,1,4,134
"1324","North","Acanthus mollis",1963,1,5,200
"2214","North","Acanthus mollis",1973,1,6,261
"2552","North","Acanthus mollis",1976,1,7,158
"3014","North","Acanthus mollis",1980,1,8,150
"3519","North","Acanthus mollis",1987,1,9,171
"4130","North","Acanthus mollis",1994,2,11,158
"4560","North","Acanthus mollis",2003,1,12,56
"690","North","Acer pseudoplatanus",1953,2,2,129
"1510","North","Acer pseudoplatanus",1966,1,3,101
"2381","North","Acer pseudoplatanus",1975,1,4,253
"2873","North","Acer pseudoplatanus",1979,1,5,156
"4009","North","Acer pseudoplatanus",1993,2,7,143
"1303","North","Actinidia deliciosa",1963,1,1,200
"2684","North","Actinidia deliciosa",1977,1,2,299
"2754","North","Actinidia deliciosa",1978,1,3,125
"2960","North","Actinidia deliciosa",1980,1,4,150
"3109","North","Actinidia deliciosa",1981,1,5,158
"3366","North","Actinidia deliciosa",1985,1,6,153
"3444","North","Actinidia deliciosa",1986,1,7,114
"4194","North","Actinidia deliciosa",1996,1,8,78
"4344","North","Actinidia deliciosa",1998,2,10,68
"4617","North","Actinidia deliciosa",2004,1,11,39
"119","North","Ageratina adenophora",1929,1,1,28
"194","North","Ageratina adenophora",1937,1,2,30
"230","North","Ageratina adenophora",1939,1,3,29
"464","North","Ageratina adenophora",1948,1,4,29
"513","North","Ageratina adenophora",1949,1,5,59
"1293","North","Ageratina adenophora",1963,1,6,200
"1359","North","Ageratina adenophora",1964,1,7,104
"1467","North","Ageratina adenophora",1965,2,9,92
"1725","North","Ageratina adenophora",1969,1,10,136
"2095","North","Ageratina adenophora",1972,1,11,218
"2163","North","Ageratina adenophora",1973,2,13,261
"2882","North","Ageratina adenophora",1979,1,14,156
"3100","North","Ageratina adenophora",1981,2,16,158
"3133","North","Ageratina adenophora",1982,1,17,130
"3217","North","Ageratina adenophora",1983,1,18,76
"3285","North","Ageratina adenophora",1984,1,19,131
"38","North","Ageratina riparia",1913,1,1,3
"121","North","Ageratina riparia",1929,1,2,28
"289","North","Ageratina riparia",1941,1,3,43
"355","North","Ageratina riparia",1944,2,5,34
"501","North","Ageratina riparia",1949,1,6,59
"1003","North","Ageratina riparia",1958,1,7,191
"1065","North","Ageratina riparia",1959,1,8,157
"1226","North","Ageratina riparia",1962,1,9,124
"1404","North","Ageratina riparia",1964,1,10,104
"1432","North","Ageratina riparia",1965,1,11,92
"2143","North","Ageratina riparia",1972,2,13,218
"2237","North","Ageratina riparia",1973,3,16,261
"2295","North","Ageratina riparia",1974,1,17,142
"2370","North","Ageratina riparia",1975,2,19,253
"2544","North","Ageratina riparia",1976,1,20,158
"3056","North","Ageratina riparia",1981,2,22,158
"3303","North","Ageratina riparia",1984,3,25,131
"3951","North","Ageratina riparia",1992,1,26,118
"4553","North","Ageratina riparia",2002,1,27,37
"4647","North","Ageratina riparia",2005,1,28,35
"82","North","Agrostis capillaris",1926,1,1,5
"103","North","Agrostis capillaris",1928,2,3,44
"137","North","Agrostis capillaris",1930,1,4,11
"208","North","Agrostis capillaris",1938,1,5,16
"267","North","Agrostis capillaris",1940,1,6,36
"416","North","Agrostis capillaris",1946,1,7,24
"431","North","Agrostis capillaris",1947,1,8,43
"557","North","Agrostis capillaris",1950,1,9,81
"783","North","Agrostis capillaris",1955,2,11,64
"816","North","Agrostis capillaris",1956,1,12,94
"982","North","Agrostis capillaris",1958,1,13,191
"1027","North","Agrostis capillaris",1959,1,14,157
"1171","North","Agrostis capillaris",1961,2,16,134
"1232","North","Agrostis capillaris",1962,1,17,124
"1352","North","Agrostis capillaris",1963,2,19,200
"1419","North","Agrostis capillaris",1964,1,20,104
"1803","North","Agrostis capillaris",1969,1,21,136
"2127","North","Agrostis capillaris",1972,2,23,218
"2450","North","Agrostis capillaris",1975,5,28,253
"2582","North","Agrostis capillaris",1976,4,32,158
"2801","North","Agrostis capillaris",1978,2,34,125
"2902","North","Agrostis capillaris",1979,1,35,156
"2972","North","Agrostis capillaris",1980,4,39,150
"3121","North","Agrostis capillaris",1981,2,41,158
"3159","North","Agrostis capillaris",1982,1,42,130
"3293","North","Agrostis capillaris",1984,1,43,131
"3495","North","Agrostis capillaris",1986,1,44,114
"3606","North","Agrostis capillaris",1987,2,46,171
"3634","North","Agrostis capillaris",1988,1,47,128
"3757","North","Agrostis capillaris",1989,1,48,92
"3845","North","Agrostis capillaris",1991,1,49,114
"4170","North","Agrostis capillaris",1995,1,50,48
"4584","North","Agrostis capillaris",2003,1,51,56
"17","North","Allium triquetrum",1900,1,1,6
"114","North","Allium triquetrum",1928,2,3,44
"1001","North","Allium triquetrum",1958,1,4,191
"1717","North","Allium triquetrum",1968,1,5,139
"2128","North","Allium triquetrum",1972,1,6,218
"2183","North","Allium triquetrum",1973,1,7,261
"2469","North","Allium triquetrum",1975,1,8,253
"2528","North","Allium triquetrum",1976,2,10,158
"2991","North","Allium triquetrum",1980,1,11,150
"3318","North","Allium triquetrum",1984,1,12,131
"3753","North","Allium triquetrum",1989,1,13,92
"498","North","Alternanthera philoxeroides",1949,2,2,59
"546","North","Alternanthera philoxeroides",1950,1,3,81
"1103","North","Alternanthera philoxeroides",1960,1,4,43
"1402","North","Alternanthera philoxeroides",1964,3,7,104
"1439","North","Alternanthera philoxeroides",1965,1,8,92
"1544","North","Alternanthera philoxeroides",1966,1,9,101
"1653","North","Alternanthera philoxeroides",1968,1,10,139
"1833","North","Alternanthera philoxeroides",1970,2,12,283
"2384","North","Alternanthera philoxeroides",1975,1,13,253
"2709","North","Alternanthera philoxeroides",1977,1,14,299
"2849","North","Alternanthera philoxeroides",1979,1,15,156
"3079","North","Alternanthera philoxeroides",1981,1,16,158
"3516","North","Alternanthera philoxeroides",1986,1,17,114
"3577","North","Alternanthera philoxeroides",1987,1,18,171
"3679","North","Alternanthera philoxeroides",1988,1,19,128
"3867","North","Alternanthera philoxeroides",1991,1,20,114
"3908","North","Alternanthera philoxeroides",1992,1,21,118
"4368","North","Alternanthera philoxeroides",1999,1,22,78
"100","North","Ammophila arenaria",1928,1,1,44
"237","North","Ammophila arenaria",1939,1,2,29
"934","North","Ammophila arenaria",1958,1,3,191
"1321","North","Ammophila arenaria",1963,1,4,200
"1949","North","Ammophila arenaria",1971,2,6,182
"2498","North","Ammophila arenaria",1976,1,7,158
"3225","North","Ammophila arenaria",1983,1,8,76
"3271","North","Ammophila arenaria",1984,1,9,131
"3932","North","Ammophila arenaria",1992,1,10,118
"1630","North","Angelica pachycarpa",1967,1,1,85
"2667","North","Angelica pachycarpa",1977,1,2,299
"2774","North","Angelica pachycarpa",1978,1,3,125
"2945","North","Angelica pachycarpa",1980,2,5,150
"3329","North","Angelica pachycarpa",1984,1,6,131
"3719","North","Angelica pachycarpa",1989,1,7,92
"3872","North","Angelica pachycarpa",1991,1,8,114
"4101","North","Angelica pachycarpa",1994,1,9,158
"290","North","Anredera cordifolia",1941,2,2,43
"401","North","Anredera cordifolia",1945,1,3,59
"1181","North","Anredera cordifolia",1961,1,4,134
"1339","North","Anredera cordifolia",1963,1,5,200
"1868","North","Anredera cordifolia",1970,1,6,283
"2327","North","Anredera cordifolia",1974,1,7,142
"2356","North","Anredera cordifolia",1975,1,8,253
"2662","North","Anredera cordifolia",1977,1,9,299
"3038","North","Anredera cordifolia",1981,2,11,158
"3139","North","Anredera cordifolia",1982,1,12,130
"3219","North","Anredera cordifolia",1983,1,13,76
"3601","North","Anredera cordifolia",1987,1,14,171
"3702","North","Anredera cordifolia",1989,1,15,92
"3767","North","Anredera cordifolia",1990,1,16,80
"3975","North","Anredera cordifolia",1993,1,17,143
"4200","North","Anredera cordifolia",1996,1,18,78
"4262","North","Anredera cordifolia",1997,1,19,69
"4407","North","Anredera cordifolia",1999,1,20,78
"4552","North","Anredera cordifolia",2002,1,21,37
"4673","North","Anredera cordifolia",2007,1,22,15
"383","North","Araujia sericifera",1945,1,1,59
"565","North","Araujia sericifera",1950,1,2,81
"611","North","Araujia sericifera",1952,2,4,63
"1341","North","Araujia sericifera",1963,1,5,200
"1549","North","Araujia sericifera",1966,1,6,101
"2199","North","Araujia sericifera",1973,1,7,261
"2875","North","Araujia sericifera",1979,1,8,156
"3187","North","Araujia sericifera",1982,1,9,130
"3849","North","Araujia sericifera",1991,1,10,114
"4619","North","Araujia sericifera",2004,2,12,39
"132","North","Arctium minus",1929,1,1,28
"203","North","Arctium minus",1937,2,3,30
"206","North","Arctium minus",1938,1,4,16
"309","North","Arctium minus",1942,1,5,25
"405","North","Arctium minus",1945,1,6,59
"419","North","Arctium minus",1946,1,7,24
"705","North","Arctium minus",1953,1,8,129
"858","North","Arctium minus",1956,1,9,94
"1116","North","Arctium minus",1960,1,10,43
"1601","North","Arctium minus",1967,1,11,85
"1719","North","Arctium minus",1968,1,12,139
"2325","North","Arctium minus",1974,1,13,142
"2537","North","Arctium minus",1976,1,14,158
"2619","North","Arctium minus",1977,2,16,299
"106","North","Arctotheca calendula",1928,2,2,44
"229","North","Arctotheca calendula",1939,2,4,29
"256","North","Arctotheca calendula",1940,1,5,36
"384","North","Arctotheca calendula",1945,1,6,59
"951","North","Arctotheca calendula",1958,1,7,191
"1140","North","Arctotheca calendula",1961,1,8,134
"1355","North","Arctotheca calendula",1964,1,9,104
"1664","North","Arctotheca calendula",1968,1,10,139
"2034","North","Arctotheca calendula",1972,1,11,218
"2209","North","Arctotheca calendula",1973,2,13,261
"2291","North","Arctotheca calendula",1974,1,14,142
"2389","North","Arctotheca calendula",1975,2,16,253
"2555","North","Arctotheca calendula",1976,2,18,158
"2728","North","Arctotheca calendula",1977,3,21,299
"3913","North","Arctotheca calendula",1992,2,23,118
"4175","North","Arctotheca calendula",1995,1,24,48
"158","North","Aristea ecklonii",1933,1,1,4
"1089","North","Aristea ecklonii",1960,2,3,43
"1167","North","Aristea ecklonii",1961,1,4,134
"1583","North","Aristea ecklonii",1967,1,5,85
